song,artist,lyrics,year,mood
When I'm Sixty-Four,The Beatles,"When I get older losing my hair
Many years from now
Will you still be sending me a valentine
Birthday greetings, bottle of wine?
If I'd been out till quarter to three
Would you lock the door?
Will you still need me, will you still feed me
When I'm sixty four?

You'll be older too
And if you say the word
I could stay with you

I could be handy, mending a fuse
When your lights have gone
You can knit a sweater by the fireside
Sunday mornings go for a ride
Doing the garden, digging the weeds
Who could ask for more?
Will you still need me, will you still feed me
When I'm sixty four?

Every summer we can rent a cottage in the Isle of Wight
If it's not too dear
We shall scrimp and save
Grandchildren on your knee
Vera, Chuck and Dave

Send me a postcard, drop me a line
Stating point of view
Indicate precisely what you mean to say
Yours sincerely, wasting away
Give me your answer, fill in a form
Mine forevermore
Will you still need me, will you still feed me
When I'm sixty four?
Ho!",1967,happy
Doing It Right,The Go! Team,"Do it, do it, all right
Do it, do it, all right
Do it, do it, all right
Do it, do it, all right

You got a mouth
Don't you act like you ain't heard a thing
Who told you to play the victim
You ain't suffering

I see that lazy ass attitude
Hey, let it drop
You got potential come on
Take it to the tippity-top

Come on and show that energy
That you always give out
Use it for something good
Yeah, you know what I'm talking about

Keep jumping, reaching higher
You can't take a fall
Give it all, give it all
Give it all, give it all

Do it, do it, all right
Do it, do it, all right

Got ideas to supply
And a passport to try
Everything we should but don't
Everything we could but won't

Got out backs to the pack
And no plans to take back
Anything we've ever owned
Anything we've ever known

And what happens next
Will be yours now
'Cause we've gotta figure out
If we're gonna show you how

Do it, do it, all right
Do it, do it, all right

We have the right combination
We got everything
And to strike faster than lightning
We raise what we bring

We have the right combination
It ain't time to crawl
Give it all, give it all
Give it all, give it all

Do it, do it, all right
Do it, do it, all right

Got ideas to supply
And a passport to try
Everything we should but don't
Everything we could but won't

Got out backs to the pack
And no plans to take back
Anything we've ever owned
Anything we've ever known

And what happens next
Will be yours now
'Cause we've gotta figure out
If we're gonna show you how

Do it, do it, all right
Do it, do it, all right
Do it, do it, all right
Do it, do it, all right",2007,happy
Chelsea Dagger,The Fratellis,"Well you must be a girl with shoes like that
She said you know me well
I seen you and little Steven and Joanna
'Round the back of my hotel

Someone said you was asking after me
But I know you best as a blagger
I said tell me your name is it sweet?
She said my boy it's Dagger

I was good she was hot
Stealin' everything she got
I was bold she was over the worst of it
Gave me gear thank you dear bring yer sister over here
Let her dance with me just for the hell of it

Well you must be a boy with bones like that
She said you got me wrong
I would've sold them to you
If I could've just have kept the last of my clothes on

Call me up take me down with you
When you go I could be your regular belle
And I'll dance for little Steven and Joanna
'Round the back of my hotel

I was good she was hot
Stealin' everything she got
I was bold she was over the worst of it
Gave me gear thank you dear bring your sister over here
Let her dance with me just for the hell of it

Chelsea Chelsea I believe that when you're dancing
Slowly sucking your sleeve
The boys get lonely after you leave
It's one for the Dagger and another for the one you believe

Chelsea I believe when you're dancing
Slowly sucking your sleeve
The boys get lonely after you leave
It's one for the Dagger, another for the one you believe
One you believe",2006,happy
We Are Golden,Mika,"Teenage dreams in a teenage circus
Running around like a clown on purpose
Who gives a damn about the family you come from?
No givin' up when you're young and you want some

Running around again
(running around again)
Running from running
Running around again
(running around again)
Running from running

Waking up in the midday sun
What's to live for?
You could see what I've done
Staring at emotion
In the light of day
I was running from the things that you'd say

We are not what you think we are
We are golden, we are golden
We are not what you think we are
We are golden, we are golden

Teenage dreams in a teenage circus
Running around like a clown on purpose
Who gives a damn about the family you come from?
No giving up when you're young and you want some

Running around again
(running around again)
Running from running
Running around again
(running around again)
Running from running

I was a boy at an open door
Why you staring
Do you still think that you know?
Looking for treasure
In the things that you threw
Like a magpie
I live for glitter, not you

We are not what you think we are
We are golden, we are golden
We are not what you think we are
We are golden, we are golden

Teenage dreams in a teenage circus
Running around like a clown on purpose
Who gives a damn about the family you come from?
No giving up when you're young and you want some

Now I'm sitting alone
I'm finally looking around
Left here on my own
I'm gonna hurt myself
Maybe losing my mind
I'm still wondering why
Had to let the world let it bleed me dry

We are not what you think we are
We are not what you think we are
We are not what you think we are
We are golden, we are golden

Teenage dreams in a teenage circus
Running around like a clown on purpose
Who gives a damn about the family you come from?
No giving up when you're young and you want some

Running around again
(running around again)
Running from running
Running around again
(running around again)
Running from running

We are not what you think we are
We are golden, we are golden

We are not what you think we are
We are golden, we are gold

We are not what you think we are
We are golden, we are golden",2009,happy
Uptown Girl,Billy Joel,"Uptown girl
She's been living in her uptown world
I bet she never had a backstreet guy
I bet her mama never told her why

I'm gonna try for an uptown girl
She's been living in her white bread world
As long as anyone with hot blood can
And now she's looking for a downtown man
That's what I am

And when she knows what
She wants from her time
And when she wakes up
And makes up her mind

She'll see I'm not so tough
Just because
I'm in love with an uptown girl

You know I've seen her in her uptown world
She's getting tired of her high class toys
And all her presents from her uptown boys
She's got a choice

Uptown girl
You know I can't afford to buy her pearls
But maybe someday when my ship comes in
She'll understand what kind of guy I've been
And then I'll win

And when she's walking
She's looking so fine
And when she's talking
She'll say that she's mine

She'll say I'm not so tough
Just because
I'm in love
With an uptown girl

She's been living in her white bread world
As long as anyone with hot blood can
And now she's looking for a downtown man
That's what I am

Uptown girl
She's my uptown girl
You know I'm in love
With an uptown girl
My uptown girl
You know I'm in love
With an uptown girl
My uptown girl",1983,happy
The Purple Bottle,Animal Collective,"I've gotta big big big heart beat, yeah!
I think you are the sweetest thing
I wear a coat of feelings and they are loud
I've been having good days
Think we are the right age to start our own peculiar ways?
With good friendly homes

You get me freaked freaked freaked on Preakness
I've never met a girl that
Likes to drink with horses
Knows her Chinese ballet
I must admit you smell like fruity nuts and good grains
When you show my purple gaze a thing or two at night.

It'd make me sick sick sick to kiss you and I think that I would vomit
But I'll do that on Mondays
I don't have to work away
I like it when I bump you
An accident's a truth gate
I'm humbled in your pretty lens
I'll hold you don't you go

Sometimes you're quiet and sometimes I'm quiet, 
(Hallelujah!)
Sometimes I'm talkative and sometimes you're not talkative, I know

Well I'd like to spread your perfume around the old apartment
Could we live together and agree on the same wares
A trapeze is a bird cage and even if its empty it definitely fits the room
And we would too

And my dear dear dear Khalana
I talk too much about you
Their ears are getting tired of me singing all the night through
Lets just talk together
You and me and me and you
And if there's nothing much to say
Well, silence is a bore.

I've gotta big big big heart beat, yeah!
I think you are the sweetest thing
I wear a coat of feelings and they are loud
I've been having good days
Think we are the right age to start our own peculiar ways?
With good friendly homes

Sometimes you're quiet and sometimes I'm quiet, 
(Hallelujah!)
Sometimes I'm talkative and sometimes you're not talkative, I know
Sometimes you hear me when others they can't hear me. 
(Hallelujah!)
Sometimes I'm naked and thank god sometimes you're naked. Well, hello

Can I tell you that you are the purple in me?
Can I call you just to hear you would you care?
When I saw you put your purple finger on me
There's a feeling in your bottle
Found your bottle, found your heart
Gives a feeling from your bottled little part

Can I tell you that you are the purple in me?
Can I call you just to hear you would you care?
When I saw you put your purple finger on me
There's a feeling in your bottle
Found your bottle, found your heart
Gives a feeling from your bottled little part

Eh-oh! [4x]

Gotta crush high
Thought I crushed all I could
Crushed all I can then I touched your hand
Crush high
Don't want it to stop
Cause stories of your brother make my crush high bop
And you couldn't really know cause its in my toes
And sometimes I wonder where'd that crush high go
Crush high
Then I go and take some pills
Cause I cant do all of my do's and still feel ill
You get that WOOOO!",2005,happy
19-2000 (Soulchild remix),Gorillaz,"Its the music that we choose [x4]
Oh yeah!
Its the music that we choose [x4]

The world is spinning too fast
I'm buying lead Nike shoes
To keep myself tethered
To the days I try to lose

My mama said to slow down
You must make your own shoes
Stop dancing to the music
Of Gorillaz in a happy mood

Keep a mild groove on

Day do, dah bop [x4]

There you go!
Get the cool!
na na na na na na na
Get the cool shoeshine! [x4]

There's a monkey in the jungle
Watching a vapour trail
Caught up in the conflict
Between his brain and his tail

And if time's elimination
Then we got nothing to lose
Please repeat the message
It's the music that we choose

Keepin, my groove on

Day do, dah bop [x4]

There you go!
Get the cool!
na na na na na na na
Get the cool shoeshine! [x4]
[repeat till fade]",2001,happy
Heart It Races,Architecture in Helsinki,"And we're slow to acknowledge the knots in the laces
Heart it races
And we go back to where we moved out to the places
Heart it races

I bought it in a can and stirred it with my finger
Singing boom-dadadadadadada boom-dadadada
Threw it out the window
And lately you've been tanned suspicious for the winter with your
Boom-dadadadadadada boom-dadadada
Legs like little splinters

And we're slow to acknowledge the knots in the laces
Heart it races
And we go back to where we moved out to the places
Heart it races

I sold it to a man and threw him out that window
He went boom-dadadadadadada boom-dadadada
Made his wife a widow

Heart it races alone...
Boom dadadadadadada boom dadadada...",2007,happy
Wraith Pinned To The Mist And Other Games,of Montreal,"Let's have bizarre celebrations... let's forget who, forget what, forget where
We'll have bizarre celebrations... I'll play the Satyr in Cyprus, you the bride being stripped bare
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica

Let's have bizarre celebrations... let's forget when, forget what, forget how
We'll have bizarre celebrations... we'll play Tristan and Isolde, but make sure I see white sails
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica

Maybe I'll never die, I'll just keep growing younger with you, and you'll grow younger, too
Now it seems too lovely to be true, but I know the best things always do
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica
Let's pretend we don't exist, let's pretend we're in Antarctica",2005,happy
Starlight,Muse,"Far away
This ship has taken me far away
Far away from the memories
Of the people who care if I live or die

Starlight
I will be chasing a starlight
Until the end of my life
I don't know if it's worth it anymore

Hold you in my arms
I just wanted to hold
You in my arms

My life
You electrify my life
Lets conspire to ignite
All the souls that would die just to feel alive

I'll never let you go
If you promise not to fade away
Never fade away

Our hopes and expectations
Black holes and revelations
Our hopes and expectations
Black holes and revelations

Hold you in my arms
I just wanted to hold
You in my arms

Far away
The ship has taken me far away
Far away from the memories
Of the people who care if I live or die

And I'll never let you go
If you promise not to fade away
Never fade away

Our hopes and expectations
Black holes and revelations, yeah
Our hopes and expectations
Black holes and revelations

Hold you in my arms
I just wanted to hold
You in my arms
I just wanted to hold",2006,happy
Here (In Your Arms),Hellogoodbye,"I like where we are
When we drive in your car
I like where we are here

Cause our lips can touch
And our cheeks can brush
Our lips can touch here

Well, you are the one, the one that lies close to me
Whispers, ""Hello. I've missed you quite terribly.""
I fell in love, in love with you suddenly
Now there's no place else I could be but here in your arms

I like where you sleep
When you sleep next to me
I like where you sleep here

Our lips can touch
And our cheeks can brush
'Cause our lips can touch here

Well, you are the one, the one that lies close to me
Whispers, ""Hello. I've missed you quite terribly.""
I fell in love, in love with you suddenly
Now there's no place else I could be but here in your arms

Our lips can touch
Our lips can touch here

You are the one the one that lies close to me
Whispers, ""Hello. I've missed you quite terribly.""
I fell in love, in love with you suddenly
Now there's no place else I could be but here in your arms

Well, you are the one the one that lies close to me
Whispers, ""Hello. I miss you, I miss you.""
I fell in love, in love with you suddenly
Now there's no place else I could be but here in your arms

Here in your arms
Here in your arms",2006,happy
For Once in My Life,Stevie Wonder,"For once in my life I have someone who needs me
Someone I've needed so long
For once, unafraid, I can go where life leads me
And somehow I know I'll be strong

For once I can touch what my heart used to dream of
Long before I knew
Someone warm like you
Would make my dreams come true

For once in my life I won't let sorrow hurt me
Not like it's hurt me before
For once, I have something I know won't desert me
I'm not alone anymore

For once, I can say, this is mine, you can't take it
As long as I know I have love, I can make it
For once in my life, I have someone who needs me

Oh baby

For once in my life

For once in my life I won't let sorrow hurt me
Not like it's hurt me before
For once, I have something I know won't desert me
I'm not alone anymore

For once, I can say, this is mine, you can't take it
As long as I know I have love, I can make it
For once in my life, I have someone who need me

For once in my life
Somebody that needs me
Ooh, baby
For once in my life",1968,happy
Great DJ,The Ting Tings,"Fed up with your indigestion.
Swallow words one by one.
Folks got high at a quarter to five.
Donât you feel your growing up undone. 

Nothing but the local DJ,
who said he had some songs to play.
What went down from his fooling around
gave hope and a brand new day.

Imagine all the girls
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the boys
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the strings
Ee, ee, eee, eee, ee, ee, ee, ee
And the drums, the drums, the drums, the drums, the drums, the drums, the drums, the drums, the drums, the drums, the drums, the drums
Oh!

Nothing was the same again
All about where and when
Blowing our minds in our life unkind
gotta love the BPM.
When the smoke was all baton
Remembering how this begun.
We wore his love like a hand in a glove
Where the future plays it all night long.

and nothin' but the girls
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the boys
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the strings
Ee, ee, eee, eee, ee, ee, ee, ee
and ""the drums"" [x19]

Imagine all the girls
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the boys
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the strings
Ee, ee, eee, eee, ee, ee, ee, ee
and the drums
Ah, ah, ahh, ahh, ah, ah, ah, oh

all the girls
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the boys
Ah, ah, ahh, ahh, ah, ah, ah, ah
And the strings
Ee, ee, eee, eee, ee, ee, ee, ee
and the drums, the drums, the drums, the drums.",2008,happy
She's A Rainbow,The Rolling Stones,"She comes in colours ev'rywhere
She combs her hair
She's like a rainbow
Coming, colours in the air
Oh, everywhere
She comes in colours

She comes in colours ev'rywhere
She combs her hair
She's like a rainbow
Coming, colours in the air
Oh, everywhere
She comes in colours

Have you seen her dressed in blue?
See the sky in front of you
And her face is like a sail
Speck of white so fair and pale
Have you seen a lady fairer?

She comes in colours ev'rywhere
She combs her hair
She's like a rainbow
Coming, colours in the air
Oh, everywhere
She comes in colours

Have you seen her all in gold?
Like a queen in days of old
She shoots colours all around
Like a sunset going down
Have you seen a lady fairer?

She comes in colours ev'rywhere
She combs her hair
She's like a rainbow
Coming, colours in the air
Oh, everywhere
She comes in colours

She's like a rainbow
Coming, colours in the air
Oh, everywhere
She comes in colours",1967,happy
Cecilia,Simon & Garfunkel,"Celia, you're breaking my heart
You're shaking my confidence daily
Oh Cecilia, I'm down on my knees
I'm begging you please to come home

Celia, you're breaking my heart
You're shaking my confidence daily
Oh Cecilia, I'm down on my knees
I'm begging you please to come home

Come on home
Making love in the afternoon with Cecilia
Up in my bedroom (making love)
I got up to wash my face
When I come back to bed
Someone's taken my place

Celia, you're breaking my heart
You're shaking my confidence daily
Oh Cecilia, I'm down on my knees
I'm begging you please to come home

Jubilation
She loves me again
I fall on the floor and I'm laughing

Jubilation
She loves me again
I fall on the floor and I'm laughing",1970,happy
Penny Lane,The Beatles,"In Penny Lane there is a barber showing photographs
Of every head he's had the pleasure to have known
And all the people that come and go
Stop and say hello

On the corner is a banker with a motorcar
The little children laugh at him behind his back
And the banker never wears a mac
In the pouring rain, very strange

Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit, and meanwhile back

In Penny Lane there is a fireman with an hourglass
And in his pocket is a portrait of the queen
He likes to keep his fire engine clean
It's a clean machine

Penny Lane is in my ears and in my eyes
A four of fish and finger pies
In summer, meanwhile back

Behind the shelter in the middle of a roundabout
The pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway

In Penny Lane the barber shaves another customer
We see the banker sitting waiting for a trim
And then the fireman rushes in
From the pouring rain, very strange

Penny lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit, and meanwhile back
Penny lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane",1967,happy
Take Me Out,Franz Ferdinand,"So if you're lonely
You know I'm here waiting for you
I'm just a crosshair
I'm just a shot away from you
And if you leave here
You leave me broken, shattered, I lie
I'm just a crosshair
I'm just a shot, then we can die

I know I won't be leaving here with you

I say don't you know
You say you don't know
I say... take me out!

I say you don't show
Don't move, time is slow
I say... take me out!

I say you don't know
You say you don't know
I say... take me out!

If I move this could die
If eyes move this could die
I want you...to take me out!

I know I won't be leaving here (with you)
I know I won't be leaving here
I know I won't be leaving here (with you)
I know I won't be leaving here with you

I say don't you know?
You say you don't know
I say take me out

If I wane, this could die
I wait, this could die
I want you to take me out

If I move, this could die
Eyes move, this can die
Come on, take me out

I know I won't be leaving here (with you)
I know I won't be leaving here
I know I won't be leaving here (with you)
I know I won't be leaving here with you",2004,happy
The Way I Am,Ingrid Michaelson,"If you were falling, then I would catch you.
If you need a light, I'd find a match.

'Cause I love the way you say ""good morning"".
And you take me the way I am.

If you are chilly, here take my sweater.
If your head is aching, I'll make it better.

'Cause I love the way you call me ""baby"".
And you take me the way I am.

And I'll buy you Rogaine when you start losing all your hair.
And sew on patches to all you tear.

'Cause I love you more than I could ever promise.
And you take me the way I am.
You take me the way I am.
You take me the way I am.",2007,happy
A Thousand Miles,Vanessa Carlton,"Making my way downtown
Walking fast
Faces pass
And I'm home-bound

Staring blankly ahead
Just making my way
Making a way
Through the crowd

And I need you
And I miss you
And now I wonder

If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you tonight

It's always times like these
When I think of you
And I wonder if you ever think of me
'Cause everything's so wrong
And I don't belong
Living in your precious memory

'Cause I need you
And I miss you
And now I wonder

If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you tonight

And I, I don't wanna let you know
I, I drown in your memory
I, I don't wanna let this go
I, I don't

Making my way downtown
Walking fast
Faces pass
And I'm home-bound

Staring blankly ahead
Just making my way
Making a way
Through the crowd

And I still need you
And I still miss you
And now I wonder

If I could fall into the sky
Do you think time would pass us by?
'Cause you know I'd walk a thousand miles
If I could just see you

If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you
If I could just hold you tonight",2002,happy
